Date,Year,Month,Day,Season,Season.Yr,Max.Temp,Min.Temp,Mean.Temp,Total.Precip,Station
1970-01-01,1970,1,1,Winter,1970,6.1,-1.7,2.2,0,VANCOUVER INT'L A
1970-01-02,1970,1,2,Winter,1970,2.2,0,1.1,1,VANCOUVER INT'L A
1970-01-03,1970,1,3,Winter,1970,5,-1.7,1.7,0.5,VANCOUVER INT'L A
1970-01-04,1970,1,4,Winter,1970,2.8,-3.3,-0.3,0,VANCOUVER INT'L A
1970-01-05,1970,1,5,Winter,1970,1.7,-2.8,-0.6,0,VANCOUVER INT'L A
1970-01-06,1970,1,6,Winter,1970,5.6,-1.7,2,0,VANCOUVER INT'L A
1970-01-07,1970,1,7,Winter,1970,3.3,-3.3,0,0,VANCOUVER INT'L A
1970-01-08,1970,1,8,Winter,1970,4.4,0,2.2,4.6,VANCOUVER INT'L A
1970-01-09,1970,1,9,Winter,1970,7.2,2.8,5,6.6,VANCOUVER INT'L A
1970-01-10,1970,1,10,Winter,1970,5.6,-2.8,1.4,0.5,VANCOUVER INT'L A
1970-01-11,1970,1,11,Winter,1970,5.6,1.1,3.4,0.3,VANCOUVER INT'L A
1970-01-12,1970,1,12,Winter,1970,6.1,-0.6,2.8,0,VANCOUVER INT'L A
1970-01-13,1970,1,13,Winter,1970,4.4,-1.1,1.7,11.7,VANCOUVER INT'L A
1970-01-14,1970,1,14,Winter,1970,5.6,2.8,4.2,5.3,VANCOUVER INT'L A
1970-01-15,1970,1,15,Winter,1970,3.9,-2.8,0.6,0,VANCOUVER INT'L A
1970-01-16,1970,1,16,Winter,1970,3.3,-5,-0.9,0,VANCOUVER INT'L A
1970-01-17,1970,1,17,Winter,1970,-0.6,-2.8,-1.7,12.4,VANCOUVER INT'L A
1970-01-18,1970,1,18,Winter,1970,2.8,-1.7,0.6,8.1,VANCOUVER INT'L A
1970-01-19,1970,1,19,Winter,1970,7.2,1.1,4.2,13.2,VANCOUVER INT'L A
1970-01-20,1970,1,20,Winter,1970,11.1,5,8.1,1.8,VANCOUVER INT'L A
1970-01-21,1970,1,21,Winter,1970,12.8,6.7,9.8,13.7,VANCOUVER INT'L A
1970-01-22,1970,1,22,Winter,1970,7.8,3.3,5.6,8.6,VANCOUVER INT'L A
1970-01-23,1970,1,23,Winter,1970,10.6,6.1,8.4,5.6,VANCOUVER INT'L A
1970-01-24,1970,1,24,Winter,1970,7.2,2.8,5,0,VANCOUVER INT'L A
1970-01-25,1970,1,25,Winter,1970,7.2,2.8,5,2,VANCOUVER INT'L A
1970-01-26,1970,1,26,Winter,1970,6.7,1.7,4.2,5.3,VANCOUVER INT'L A
1970-01-27,1970,1,27,Winter,1970,6.7,2.2,4.5,1.3,VANCOUVER INT'L A
1970-01-28,1970,1,28,Winter,1970,5.6,-0.6,2.5,0.3,VANCOUVER INT'L A
1970-01-29,1970,1,29,Winter,1970,6.7,0,3.4,0,VANCOUVER INT'L A
1970-01-30,1970,1,30,Winter,1970,5.6,-2.2,1.7,1.3,VANCOUVER INT'L A
1970-01-31,1970,1,31,Winter,1970,10,3.9,7,11.9,VANCOUVER INT'L A
1970-02-01,1970,2,1,Winter,1970,8.3,1.7,5,0,VANCOUVER INT'L A
1970-02-02,1970,2,2,Winter,1970,6.7,3.9,5.3,5.1,VANCOUVER INT'L A
1970-02-03,1970,2,3,Winter,1970,7.8,-0.6,3.6,0.3,VANCOUVER INT'L A
1970-02-04,1970,2,4,Winter,1970,5.6,-0.6,2.5,0,VANCOUVER INT'L A
1970-02-05,1970,2,5,Winter,1970,3.9,-1.7,1.1,3.8,VANCOUVER INT'L A
1970-02-06,1970,2,6,Winter,1970,9.4,3.3,6.4,0.3,VANCOUVER INT'L A
1970-02-07,1970,2,7,Winter,1970,11.1,5,8.1,2.8,VANCOUVER INT'L A
1970-02-08,1970,2,8,Winter,1970,6.1,3.3,4.7,0,VANCOUVER INT'L A
1970-02-09,1970,2,9,Winter,1970,6.7,1.1,3.9,0,VANCOUVER INT'L A
1970-02-10,1970,2,10,Winter,1970,6.7,0,3.4,0,VANCOUVER INT'L A
1970-02-11,1970,2,11,Winter,1970,8.9,-1.1,3.9,0,VANCOUVER INT'L A
1970-02-12,1970,2,12,Winter,1970,8.3,2.2,5.3,0,VANCOUVER INT'L A
1970-02-13,1970,2,13,Winter,1970,8.3,6.1,7.2,12.4,VANCOUVER INT'L A
1970-02-14,1970,2,14,Winter,1970,10,6.7,8.4,1.5,VANCOUVER INT'L A
1970-02-15,1970,2,15,Winter,1970,9.4,5.6,7.5,8.4,VANCOUVER INT'L A
1970-02-16,1970,2,16,Winter,1970,11.1,6.1,8.6,14.2,VANCOUVER INT'L A
1970-02-17,1970,2,17,Winter,1970,9.4,6.1,7.8,7.1,VANCOUVER INT'L A
1970-02-18,1970,2,18,Winter,1970,8.9,5,7,0,VANCOUVER INT'L A
1970-02-19,1970,2,19,Winter,1970,9.4,5,7.2,0,VANCOUVER INT'L A
1970-02-20,1970,2,20,Winter,1970,8.9,-0.6,4.2,0,VANCOUVER INT'L A
1970-02-21,1970,2,21,Winter,1970,11.1,-1.1,5,0,VANCOUVER INT'L A
1970-02-22,1970,2,22,Winter,1970,11.7,-0.6,5.6,0,VANCOUVER INT'L A
