date,BTC_CAD,ADA_CAD
2021-01-01,37393.089844,0.223219
2021-01-02,40898.171875,0.22586
2021-01-03,41711.191406,0.260832
2021-01-04,40865.0625,0.287281
2021-01-05,43089.992188,0.327447
2021-01-06,46641.222656,0.420378
2021-01-07,49945.90625,0.380553
2021-01-08,51769.027344,0.387779
2021-01-09,51079.398438,0.422513
2021-01-10,48817.738281,0.388052
2021-01-11,45432.597656,0.351878
2021-01-12,43108.246094,0.364715
2021-01-13,47383.304688,0.398212
2021-01-14,49563.347656,0.392582
2021-01-15,46905.535156,0.385342
2021-01-16,46081.144531,0.448918
2021-01-17,45711.007813,0.48513
2021-01-18,46701.332031,0.47355
2021-01-19,45888.945313,0.469626
2021-01-20,44892.292969,0.474075
2021-01-21,38992.074219,0.39239
2021-01-22,42028.714844,0.445142
2021-01-23,40834.132813,0.440134
2021-01-24,41094.109375,0.450378
2021-01-25,41229.378906,0.438053
2021-01-26,41341.234375,0.436939
2021-01-27,39009.808594,0.401321
2021-01-28,40608.722656,0.427651
2021-01-29,43844.332031,0.44479
2021-01-30,43794.734375,0.463409
2021-01-31,42390.847656,0.441516
2021-02-01,43093.59375,0.516593
2021-02-02,45408.605469,0.545061
2021-02-03,47908.066406,0.564329
2021-02-04,47359.339844,0.565668
2021-02-05,48683.769531,0.686491
2021-02-06,50115.40625,0.801373
2021-02-07,49642.269531,0.846317
2021-02-08,58850.136719,0.869457
2021-02-09,59023.472656,0.893352
2021-02-10,57035,1.181275
2021-02-11,60845.808594,1.17825
2021-02-12,60319.285156,1.175265
2021-02-13,59816.941406,1.150128
2021-02-14,61818.585938,1.07658
2021-02-15,60583.375,1.087975
2021-02-16,62545.238281,1.107195
2021-02-17,66229.132813,1.131466
2021-02-18,65537.265625,1.159231
2021-02-19,70533.617188,1.17074
2021-02-20,70772.351563,1.416668
2021-02-21,72505.5625,1.386755
2021-02-22,68363.289063,1.386189
2021-02-23,61493.78125,1.202445
2021-02-24,62195.539063,1.315922
2021-02-25,59404.515625,1.361205
2021-02-26,59028.46875,1.580944
2021-02-27,58830.691406,1.687488
2021-02-28,57312.195313,1.660865
2021-03-01,62739.597656,1.633727
2021-03-02,61132.898438,1.548676
2021-03-03,64055.453125,1.541989
2021-03-04,61573.375,1.413602
2021-03-05,61913.101563,1.478661
2021-03-06,61894.21875,1.431194
2021-03-07,64684.292969,1.431669
2021-03-08,66138.40625,1.415334
2021-03-09,69333.046875,1.511454
2021-03-10,70691.1875,1.432544
2021-03-11,72463.921875,1.410025
2021-03-12,71526.078125,1.29641
2021-03-13,76406.875,1.376495
2021-03-14,73947.617188,1.320722
2021-03-15,69760.445313,1.289639
2021-03-16,70684.328125,1.546649
2021-03-17,72931.796875,1.70796
2021-03-18,72297.90625,1.548206
2021-03-19,73079.59375,1.630977
2021-03-20,73038.242188,1.511202
2021-03-21,72043.421875,1.489302
2021-03-22,68277.851563,1.389712
2021-03-23,68917.976563,1.412068
2021-03-24,66392.34375,1.3524
2021-03-25,65160.429688,1.388264
2021-03-26,69541.9375,1.531118
2021-03-27,70596.59375,1.483958
2021-03-28,70416.695313,1.499086
2021-03-29,72713.5625,1.514125
2021-03-30,74365.914063,1.531448
2021-03-31,74029.625,1.499299
2021-04-01,74156.375,1.492323
2021-04-02,74675.773438,1.504611
2021-04-03,72436.890625,1.475396
2021-04-04,73827.421875,1.496964
2021-04-05,73942.945313,1.520354
2021-04-06,73156.523438,1.578169
2021-04-07,70708.539063,1.482509
2021-04-08,73273.84375,1.532008
2021-04-09,72978.65625,1.507987
2021-04-10,74918.53125,1.527055
